"Date/Time","Year","Month","Day","Time","Temp","Weather"
"2012-01-04 16:00","2012","01","04","16:00","-0.5","Mainly Clear"
"2012-01-04 17:00","2012","01","04","17:00","-3.1","Mainly Clear"
"2012-01-04 18:00","2012","01","04","18:00","-5.3","Mainly Clear"
"2012-01-04 19:00","2012","01","04","19:00","-4.7","Mainly Clear"
"2012-01-04 20:00","2012","01","04","20:00","-4.7","Mostly Cloudy"
"2012-01-04 21:00","2012","01","04","21:00","-5.9","Mainly Clear"
"2012-01-04 22:00","2012","01","04","22:00","-3.5","Mostly Cloudy"
"2012-01-04 23:00","2012","01","04","23:00","-3.5","Mostly Cloudy"
"2012-01-05 00:00","2012","01","05","00:00","-3.8","Mostly Cloudy"
"2012-01-05 01:00","2012","01","05","01:00","-4.3","Mostly Cloudy"
"2012-01-05 02:00","2012","01","05","02:00","-3.3","Mostly Cloudy"
"2012-01-05 03:00","2012","01","05","03:00","-2.8","Mostly Cloudy"
"2012-01-05 04:00","2012","01","05","04:00","-2.0","Mostly Cloudy"
"2012-01-05 05:00","2012","01","05","05:00","-2.2","Cloudy"
"2012-01-05 06:00","2012","01","05","06:00","-1.9","Mostly Cloudy"
"2012-01-05 07:00","2012","01","05","07:00","-0.3","Cloudy"
"2012-01-05 08:00","2012","01","05","08:00","0.8","Mostly Cloudy"
"2012-01-05 09:00","2012","01","05","09:00","0.9","Mostly Cloudy"
"2012-01-05 10:00","2012","01","05","10:00","3.1","Mostly Cloudy"
"2012-01-05 11:00","2012","01","05","11:00","3.7","Cloudy"
"2012-01-05 12:00","2012","01","05","12:00","4.8","Mostly Cloudy"
"2012-01-05 13:00","2012","01","05","13:00","5.0","Mainly Clear"
"2012-01-05 14:00","2012","01","05","14:00","6.3","Mainly Clear"
"2012-01-05 15:00","2012","01","05","15:00","6.1","Mainly Clear"
"2012-01-05 16:00","2012","01","05","16:00","6.1","Mainly Clear"
"2012-01-05 17:00","2012","01","05","17:00","3.5","Mainly Clear"
"2012-01-05 18:00","2012","01","05","18:00","4.1","Clear"
"2012-01-05 19:00","2012","01","05","19:00","3.2","Clear"
"2012-01-05 20:00","2012","01","05","20:00","-2.0","Clear"
"2012-01-05 21:00","2012","01","05","21:00","-0.1","Clear"
"2012-01-05 22:00","2012","01","05","22:00","3.0","Mainly Clear"
"2012-01-05 23:00","2012","01","05","23:00","3.9","Cloudy"
"2012-01-06 00:00","2012","01","06","00:00","4.1","Cloudy"
"2012-01-06 01:00","2012","01","06","01:00","3.4","Cloudy"
"2012-01-06 02:00","2012","01","06","02:00","2.9","Rain Showers"
"2012-01-06 03:00","2012","01","06","03:00","3.0","Rain Showers"
"2012-01-06 04:00","2012","01","06","04:00","2.5","Rain Showers"
"2012-01-06 05:00","2012","01","06","05:00","",""
"2012-01-06 06:00","2012","01","06","06:00","0.1","Snow Showers"
"2012-01-06 07:00","2012","01","06","07:00","-0.4","Snow Showers"
"2012-01-06 08:00","2012","01","06","08:00","-1.7","Snow"
"2012-01-06 09:00","2012","01","06","09:00","-2.4","Snow"
"2012-01-06 10:00","2012","01","06","10:00","-2.8","Snow Showers,Fog"
"2012-01-06 11:00","2012","01","06","11:00","-2.8","Snow,Fog"
"2012-01-06 12:00","2012","01","06","12:00","-2.8","Snow,Fog"
"2012-01-06 13:00","2012","01","06","13:00","-3.3","Snow,Fog"
"2012-01-06 14:00","2012","01","06","14:00","-4.0","Snow,Fog"
"2012-01-06 15:00","2012","01","06","15:00","-4.3","Snow,Fog"
"2012-01-06 16:00","2012","01","06","16:00","-5.1","Snow"
"2012-01-06 17:00","2012","01","06","17:00","-5.5","Mostly Cloudy"
"2012-01-06 18:00","2012","01","06","18:00","-5.9","Mostly Cloudy"
"2012-01-06 19:00","2012","01","06","19:00","-6.5","Mostly Cloudy"
"2012-01-06 20:00","2012","01","06","20:00","-5.9","Mostly Cloudy"
"2012-01-06 21:00","2012","01","06","21:00","-5.9","Cloudy"
"2012-01-06 22:00","2012","01","06","22:00","-5.8","Cloudy"
"2012-01-06 23:00","2012","01","06","23:00","-5.6","Cloudy"
"2012-01-07 00:00","2012","01","07","00:00","-5.5","Snow"
"2012-01-07 01:00","2012","01","07","01:00","-5.5","Cloudy"
"2012-01-07 02:00","2012","01","07","02:00","-5.5","Cloudy"
"2012-01-07 03:00","2012","01","07","03:00","-5.5","Snow"
"2012-01-07 04:00","2012","01","07","04:00","-5.9","Snow"
"2012-01-07 05:00","2012","01","07","05:00","-6.0","Freezing Drizzle"
"2012-01-07 06:00","2012","01","07","06:00","-6.0","Cloudy"
"2012-01-07 07:00","2012","01","07","07:00","-5.8","Cloudy"
