Year,Month,Day,Time,Temp,Weather
2012,9,1,00:00,16.3,Clear
2012,9,1,01:00,17,Mainly Clear
2012,9,1,02:00,16.3,Clear
2012,9,1,03:00,14.9,Mainly Clear
2012,9,1,04:00,14.2,Mainly Clear
2012,9,1,05:00,13.8,Mostly Cloudy
2012,9,1,06:00,14.8,Mostly Cloudy
2012,9,1,07:00,17.3,Cloudy
2012,9,1,08:00,19.6,Cloudy
2012,9,1,09:00,20.5,Cloudy
2012,9,1,10:00,20.6,Rain Showers
2012,9,1,11:00,22.4,Cloudy
2012,9,1,12:00,23.5,Cloudy
2012,9,1,13:00,23.6,Cloudy
2012,9,1,14:00,24.7,Cloudy
2012,9,1,15:00,24.9,Cloudy
2012,9,1,16:00,23.4,Cloudy
2012,9,1,17:00,23.3,Cloudy
2012,9,1,18:00,24.1,Cloudy
2012,9,1,19:00,24,Mostly Cloudy
2012,9,1,20:00,24.3,Mostly Cloudy
2012,9,1,21:00,23.9,Cloudy
2012,9,1,22:00,23.7,Cloudy
2012,9,1,23:00,23.3,Mostly Cloudy
2012,9,2,00:00,23,Mostly Cloudy
2012,9,2,01:00,23,Mostly Cloudy
2012,9,2,02:00,,
2012,9,2,03:00,21.8,Rain Showers
2012,9,2,04:00,22.1,Mostly Cloudy
2012,9,2,05:00,21.4,Mostly Cloudy
2012,9,2,06:00,21.1,Mostly Cloudy
2012,9,2,07:00,21,Mostly Cloudy
2012,9,2,08:00,21.7,Mostly Cloudy
2012,9,2,09:00,22.3,Mostly Cloudy
2012,9,2,10:00,23.7,Mostly Cloudy
2012,9,2,11:00,25.9,Mostly Cloudy
2012,9,2,12:00,26.4,Mostly Cloudy
2012,9,2,13:00,25.9,Mostly Cloudy
2012,9,2,14:00,25,Mostly Cloudy
2012,9,2,15:00,20.3,Rain Showers
2012,9,2,16:00,20.9,Mostly Cloudy
2012,9,2,17:00,23.4,Mainly Clear
2012,9,2,18:00,23.1,Mainly Clear
2012,9,2,19:00,21.4,Mainly Clear
2012,9,2,20:00,19.4,Clear
2012,9,2,21:00,19.3,Clear
2012,9,2,22:00,18.7,Clear
2012,9,2,23:00,16.9,Clear
2012,9,3,00:00,15.9,Clear
