Year,Month,Day,Time,Temp,Weather
2011,11,1,00:00,5.4,Mostly Cloudy
2011,11,1,01:00,4.4,Mostly Cloudy
2011,11,1,02:00,5,Mostly Cloudy
2011,11,1,03:00,5.1,Mostly Cloudy
2011,11,1,04:00,4.7,Mostly Cloudy
2011,11,1,05:00,4,Mostly Cloudy
2011,11,1,06:00,4,Mostly Cloudy
2011,11,1,07:00,1.1,Mainly Clear
2011,11,1,08:00,-0.1,Mainly Clear
2011,11,1,09:00,3,Clear
2011,11,1,10:00,5.8,Clear
2011,11,1,11:00,7.7,Clear
2011,11,1,12:00,9.4,Clear
2011,11,1,13:00,10.3,Mainly Clear
2011,11,1,14:00,10.2,Mainly Clear
2011,11,1,15:00,10.3,Mainly Clear
2011,11,1,16:00,9.6,Mainly Clear
2011,11,1,17:00,7.2,Mainly Clear
2011,11,1,18:00,4.2,Mainly Clear
2011,11,1,19:00,1.3,Mainly Clear
2011,11,1,20:00,3.2,Mainly Clear
2011,11,1,21:00,1.3,Clear
2011,11,1,22:00,0.8,Clear
2011,11,1,23:00,0.8,Clear
2011,11,2,00:00,0.2,Clear
2011,11,2,01:00,-2.3,Mainly Clear
2011,11,2,02:00,2.4,Rain Showers
2011,11,2,03:00,1,Mostly Cloudy
2011,11,2,04:00,-0.8,Mainly Clear
2011,11,2,05:00,-1.3,Mainly Clear
2011,11,2,06:00,-1.6,Mainly Clear
2011,11,2,07:00,-2,Mainly Clear
2011,11,2,08:00,-1.7,Clear
2011,11,2,09:00,-0.1,Clear
2011,11,2,10:00,2.3,Clear
2011,11,2,11:00,4.7,Clear
2011,11,2,12:00,6.7,Clear
2011,11,2,13:00,8.4,Clear
2011,11,2,14:00,8.6,Mainly Clear
2011,11,2,15:00,8.9,Mainly Clear
2011,11,2,16:00,7.9,Mainly Clear
2011,11,2,17:00,5.4,Mainly Clear
2011,11,2,18:00,3.4,Mainly Clear
2011,11,2,19:00,2,Clear
2011,11,2,20:00,1.6,Clear
2011,11,2,21:00,0.5,Clear
2011,11,2,22:00,0.7,Clear
2011,11,2,23:00,0,Clear
2011,11,3,00:00,-0.1,Clear
2011,11,3,01:00,-0.9,Clear
2011,11,3,02:00,-0.4,Clear
2011,11,3,03:00,-0.1,Clear
2011,11,3,04:00,-0.5,Clear
2011,11,3,05:00,-1.8,Clear
2011,11,3,06:00,-1.7,Mainly Clear
2011,11,3,07:00,-1.8,Mainly Clear
2011,11,3,08:00,-2.4,Mostly Cloudy
2011,11,3,09:00,-0.5,Mostly Cloudy
2011,11,3,10:00,2,Mostly Cloudy
2011,11,3,11:00,4.4,Cloudy
2011,11,3,12:00,6.7,Cloudy
2011,11,3,13:00,8.1,Cloudy
2011,11,3,14:00,9.6,Cloudy
2011,11,3,15:00,11,Mostly Cloudy
2011,11,3,16:00,10.4,Mostly Cloudy
2011,11,3,17:00,5.8,Mostly Cloudy
2011,11,3,18:00,6.6,Mainly Clear
2011,11,3,19:00,5.8,Clear
2011,11,3,20:00,6,Clear
2011,11,3,21:00,5.8,Clear
2011,11,3,22:00,5.4,Clear
2011,11,3,23:00,4.9,Mostly Cloudy
2011,11,4,00:00,4.1,Mostly Cloudy
2011,11,4,01:00,4.3,Mostly Cloudy
2011,11,4,02:00,3.9,Cloudy
2011,11,4,03:00,3.5,Cloudy
2011,11,4,04:00,3.6,Cloudy
2011,11,4,05:00,3.8,Cloudy
2011,11,4,06:00,4.4,Mostly Cloudy
2011,11,4,07:00,4.1,Mostly Cloudy
2011,11,4,08:00,3.7,Mostly Cloudy
2011,11,4,09:00,4.3,Mostly Cloudy
2011,11,4,10:00,5.7,Mostly Cloudy
2011,11,4,11:00,7.4,Mostly Cloudy
2011,11,4,12:00,8.2,Mostly Cloudy
2011,11,4,13:00,8.9,Mostly Cloudy
2011,11,4,14:00,10.4,Mostly Cloudy
2011,11,4,15:00,10.2,Mostly Cloudy
2011,11,4,16:00,10,Mostly Cloudy
2011,11,4,17:00,8.3,Mostly Cloudy
2011,11,4,18:00,7.2,Mainly Clear
2011,11,4,19:00,6.2,Clear
2011,11,4,20:00,3.4,Clear
2011,11,4,21:00,3.9,Clear
2011,11,4,22:00,4.7,Clear
2011,11,4,23:00,3.7,Clear
2011,11,5,00:00,4.5,Clear
2011,11,5,01:00,3.5,Mainly Clear
2011,11,5,02:00,3.4,Mainly Clear
2011,11,5,03:00,2.9,Mainly Clear
2011,11,5,04:00,2.4,Mainly Clear
2011,11,5,05:00,2.4,Mainly Clear
2011,11,5,06:00,1.2,Mostly Cloudy
2011,11,5,07:00,0.9,Mostly Cloudy
2011,11,5,08:00,3,Cloudy
2011,11,5,09:00,5.1,Cloudy
2011,11,5,10:00,4.8,Cloudy
2011,11,5,11:00,6.2,Cloudy
2011,11,5,12:00,7.5,Mostly Cloudy
2011,11,5,13:00,8.1,Mostly Cloudy
2011,11,5,14:00,8.5,Cloudy
2011,11,5,15:00,9.3,Cloudy
2011,11,5,16:00,8.9,Cloudy
2011,11,5,17:00,8.5,Cloudy
2011,11,5,18:00,7.5,Cloudy
2011,11,5,19:00,6.6,Cloudy
2011,11,5,20:00,6.6,Mostly Cloudy
2011,11,5,21:00,6.7,Mostly Cloudy
2011,11,5,22:00,7.6,Mostly Cloudy
2011,11,5,23:00,7.6,Mostly Cloudy
2011,11,6,00:00,7.9,Cloudy
2011,11,6,01:00,8.1,Cloudy
2011,11,6,02:00,9.6,Cloudy
2011,11,6,03:00,9.7,Cloudy
2011,11,6,04:00,9.6,Mostly Cloudy
2011,11,6,05:00,9.3,Mostly Cloudy
2011,11,6,06:00,9.3,Cloudy
2011,11,6,07:00,9.3,Rain
2011,11,6,08:00,9.3,Rain
2011,11,6,09:00,8.6,"Rain,Fog"
2011,11,6,10:00,8.2,"Rain,Fog"
2011,11,6,11:00,8.4,Cloudy
2011,11,6,12:00,7.1,Cloudy
2011,11,6,13:00,6.2,Cloudy
2011,11,6,14:00,5.8,Cloudy
2011,11,6,15:00,4.9,Rain
2011,11,6,16:00,4.1,Rain
2011,11,6,17:00,2.8,"Rain,Fog"
2011,11,6,18:00,1.9,"Rain,Fog"
2011,11,6,19:00,0.9,"Rain,Snow,Fog"
2011,11,6,20:00,0.6,"Snow,Fog"
2011,11,6,21:00,0.6,"Rain,Snow,Fog"
2011,11,6,22:00,0.5,"Rain,Snow"
2011,11,6,23:00,0.6,Snow
2011,11,7,00:00,0,Snow
2011,11,7,01:00,0,Snow
2011,11,7,02:00,-0.1,Snow
2011,11,7,03:00,-0.3,Snow
2011,11,7,04:00,-0.5,Snow
2011,11,7,05:00,-0.9,Snow
2011,11,7,06:00,-0.6,Snow
2011,11,7,07:00,-0.5,Snow
2011,11,7,08:00,-0.3,Snow
2011,11,7,09:00,-0.2,Snow
2011,11,7,10:00,0.1,Cloudy
2011,11,7,11:00,-0.2,Cloudy
2011,11,7,12:00,-0.2,Cloudy
2011,11,7,13:00,0,Cloudy
2011,11,7,14:00,0.3,Cloudy
2011,11,7,15:00,0.7,Cloudy
2011,11,7,16:00,0.7,Mostly Cloudy
2011,11,7,17:00,-2.2,Mainly Clear
2011,11,7,18:00,-1.7,Clear
2011,11,7,19:00,-2.9,Clear
2011,11,7,20:00,-3.7,Clear
2011,11,7,21:00,-3,Clear
2011,11,7,22:00,-4.2,Clear
2011,11,7,23:00,-4.4,Clear
2011,11,8,00:00,-5.3,Clear
2011,11,8,01:00,-5.9,Clear
2011,11,8,02:00,-7.3,Mainly Clear
2011,11,8,03:00,-7.7,Clear
2011,11,8,04:00,-6.5,Mainly Clear
2011,11,8,05:00,-7,Clear
2011,11,8,06:00,-8.2,Fog
2011,11,8,07:00,-8,Fog
2011,11,8,08:00,-7.6,Fog
2011,11,8,09:00,-4.8,Mainly Clear
2011,11,8,10:00,-2.8,Clear
2011,11,8,11:00,-0.7,Clear
2011,11,8,12:00,0.2,Clear
2011,11,8,13:00,1.5,Clear
2011,11,8,14:00,2.5,Clear
2011,11,8,15:00,2.6,Clear
2011,11,8,16:00,2.4,Clear
2011,11,8,17:00,0.7,Mainly Clear
2011,11,8,18:00,-0.5,Mainly Clear
2011,11,8,19:00,-0.7,Mainly Clear
2011,11,8,20:00,-1.9,Clear
2011,11,8,21:00,-1.5,Mostly Cloudy
2011,11,8,22:00,-1.2,Mostly Cloudy
2011,11,8,23:00,0.9,Mostly Cloudy
2011,11,9,00:00,0.6,Mostly Cloudy
2011,11,9,01:00,-0.7,Mainly Clear
2011,11,9,02:00,-1.9,Clear
2011,11,9,03:00,-2.3,Clear
