Year,Month,Day,Time,Temp,Weather
2012,2,1,00:00,-9.5,Freezing Fog
2012,2,1,01:00,-10.1,Freezing Fog
2012,2,1,02:00,-10.5,Freezing Fog
2012,2,1,03:00,-10.1,Freezing Fog
2012,2,1,04:00,-9.7,Freezing Fog
2012,2,1,05:00,-9.7,Freezing Fog
2012,2,1,06:00,-9.8,Freezing Fog
2012,2,1,07:00,-9.2,Fog
2012,2,1,08:00,-8.5,Fog
2012,2,1,09:00,-7.3,Fog
2012,2,1,10:00,-6.2,Fog
2012,2,1,11:00,-4.8,Mainly Clear
2012,2,1,12:00,-3.6,Mainly Clear
2012,2,1,13:00,-2.9,Mostly Cloudy
2012,2,1,14:00,-2.7,Mostly Cloudy
2012,2,1,15:00,-2.1,Mostly Cloudy
2012,2,1,16:00,-2.1,Cloudy
2012,2,1,17:00,-3.2,Cloudy
2012,2,1,18:00,-4.2,Cloudy
2012,2,1,19:00,-4,Cloudy
2012,2,1,20:00,-3.3,Fog
2012,2,1,21:00,-3.5,Freezing Fog
2012,2,1,22:00,-4.1,Freezing Fog
2012,2,1,23:00,-5.5,Freezing Fog
2012,2,2,00:00,-8,Freezing Fog
2012,2,2,01:00,-10,Freezing Fog
2012,2,2,02:00,-11.1,Fog
2012,2,2,03:00,-10.1,Fog
2012,2,2,04:00,-9.6,Fog
2012,2,2,05:00,-10.4,Fog
2012,2,2,06:00,-10.5,Freezing Fog
2012,2,2,07:00,-11.9,Fog
2012,2,2,08:00,,
2012,2,2,09:00,-11,Freezing Fog
2012,2,2,10:00,-9.8,Fog
2012,2,2,11:00,-9.2,Fog
2012,2,2,12:00,-7.8,Fog
2012,2,2,13:00,-6.1,Fog
2012,2,2,14:00,-5.1,Mostly Cloudy
2012,2,2,15:00,-4.8,Mostly Cloudy
2012,2,2,16:00,-5.2,Mostly Cloudy
2012,2,2,17:00,-5.3,Fog
2012,2,2,18:00,-9.1,Fog
2012,2,2,19:00,-10.8,Fog
2012,2,2,20:00,-11.6,Fog
2012,2,2,21:00,-11.4,Fog
2012,2,2,22:00,-12.8,Fog
2012,2,2,23:00,-14.2,Fog
2012,2,3,00:00,-14.2,Fog
2012,2,3,01:00,-11.8,Fog
2012,2,3,02:00,-10.8,Freezing Fog
2012,2,3,03:00,-8.2,Freezing Fog
2012,2,3,04:00,-8.3,Freezing Fog
2012,2,3,05:00,-8.8,Freezing Fog
2012,2,3,06:00,-9.5,Freezing Fog
2012,2,3,07:00,-9.7,Freezing Fog
2012,2,3,08:00,-9.6,Freezing Fog
2012,2,3,09:00,-8.8,Freezing Fog
2012,2,3,10:00,-8.1,Freezing Fog
2012,2,3,11:00,-7.5,Freezing Fog
2012,2,3,12:00,-7.2,Fog
2012,2,3,13:00,-6.9,Fog
2012,2,3,14:00,-6.2,Freezing Fog
2012,2,3,15:00,-5.2,Fog
2012,2,3,16:00,-4.6,Freezing Fog
2012,2,3,17:00,-5,Freezing Fog
2012,2,3,18:00,-6.4,Freezing Fog
2012,2,3,19:00,-8.8,Fog
2012,2,3,20:00,-7.7,Fog
2012,2,3,21:00,-7.2,Clear
2012,2,3,22:00,-7.9,Clear
2012,2,3,23:00,-5.5,Mainly Clear
2012,2,4,00:00,-4.4,Clear
2012,2,4,01:00,-4,Mainly Clear
2012,2,4,02:00,-3.9,Mainly Clear
2012,2,4,03:00,-4.3,Clear
2012,2,4,04:00,-4.8,Clear
2012,2,4,05:00,-6.3,Clear
2012,2,4,06:00,-6.6,Clear
2012,2,4,07:00,-8.1,Clear
2012,2,4,08:00,-11.2,Fog
2012,2,4,09:00,-7.9,Clear
2012,2,4,10:00,-7.5,Mainly Clear
2012,2,4,11:00,-5.8,Mainly Clear
2012,2,4,12:00,-4.8,Mainly Clear
