"Date/Time","Year","Month","Day","Time","Data Quality","Temp","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2012-06-01 00:00","2012","06","01","00:00"," ","14.3","","5.4","","55","","24","","17","","24.1","","98.26","","","","","","Mainly Clear"
"2012-06-01 01:00","2012","06","01","01:00"," ","11.6","","6.4","","70","","23","","13","","24.1","","98.24","","","","","","Mainly Clear"
"2012-06-01 02:00","2012","06","01","02:00"," ","11.8","","6.2","","69","","23","","11","","24.1","","98.20","","","","","","Mainly Clear"
"2012-06-01 03:00","2012","06","01","03:00"," ","11.1","","6.2","","72","","22","","13","","24.1","","98.18","","","","","","Mainly Clear"
"2012-06-01 04:00","2012","06","01","04:00"," ","9.8","","5.9","","77","","19","","9","","24.1","","98.16","","","","","","Mostly Cloudy"
"2012-06-01 05:00","2012","06","01","05:00"," ","9.2","","6.2","","81","","18","","13","","24.1","","98.16","","","","","","Mostly Cloudy"
"2012-06-01 06:00","2012","06","01","06:00"," ","10.4","","6.4","","76","","18","","13","","24.1","","98.14","","","","","","Mostly Cloudy"
"2012-06-01 07:00","2012","06","01","07:00"," ","13.1","","8.1","","72","","18","","15","","24.1","","98.11","","","","","","Mainly Clear"
"2012-06-01 08:00","2012","06","01","08:00"," ","15.7","","8.8","","63","","18","","20","","24.1","","98.08","","","","","","Mainly Clear"
"2012-06-01 09:00","2012","06","01","09:00"," ","17.8","","8.7","","55","","19","","20","","24.1","","98.04","","","","","","Mostly Cloudy"
"2012-06-01 10:00","2012","06","01","10:00"," ","19.7","","10.0","","53","","19","","19","","24.1","","98.00","","","","","","Mostly Cloudy"
"2012-06-01 11:00","2012","06","01","11:00"," ","20.6","","9.0","","47","","21","","24","","24.1","","97.96","","","","","","Mostly Cloudy"
"2012-06-01 12:00","2012","06","01","12:00"," ","21.2","","10.4","","50","","19","","30","","24.1","","97.91","","","","","","Mostly Cloudy"
"2012-06-01 13:00","2012","06","01","13:00"," ","20.4","","10.3","","52","","24","","19","","24.1","","97.89","","","","","","Mostly Cloudy"
"2012-06-01 14:00","2012","06","01","14:00"," ","19.3","","11.2","","59","","24","","20","","24.1","","97.86","","","","","","Rain Showers"
"2012-06-01 15:00","2012","06","01","15:00"," ","","","","","","","","","","","","","","","","","","",""
"2012-06-01 16:00","2012","06","01","16:00"," ","15.9","","12.1","","78","","","","0","","24.1","","97.92","","","","","","Rain Showers"
"2012-06-01 17:00","2012","06","01","17:00"," ","18.0","","10.5","","62","","","","0","","24.1","","97.92","","","","","","Mostly Cloudy"
"2012-06-01 18:00","2012","06","01","18:00"," ","19.3","","10.9","","58","","18","","15","","24.1","","97.86","","","","","","Mostly Cloudy"
"2012-06-01 19:00","2012","06","01","19:00"," ","16.9","","10.1","","64","","14","","7","","24.1","","97.85","","","","","","Mainly Clear"
"2012-06-01 20:00","2012","06","01","20:00"," ","16.6","","10.0","","65","","19","","4","","24.1","","97.88","","","","","","Mostly Cloudy"
"2012-06-01 21:00","2012","06","01","21:00"," ","14.3","","10.2","","76","","19","","9","","24.1","","97.90","","","","","","Mostly Cloudy"
"2012-06-01 22:00","2012","06","01","22:00"," ","12.7","","11.0","","89","","19","","9","","24.1","","97.91","","","","","","Mainly Clear"
"2012-06-01 23:00","2012","06","01","23:00"," ","11.0","","10.2","","95","","18","","7","","24.1","","97.93","","","","","","Mainly Clear"
"2012-06-02 00:00","2012","06","02","00:00"," ","10.6","","10.6","","100","","21","","9","","24.1","","97.90","","","","","","Clear"
"2012-06-02 01:00","2012","06","02","01:00"," ","8.8","","8.7","","99","","20","","6","","24.1","","97.88","","","","","","Clear"
"2012-06-02 02:00","2012","06","02","02:00"," ","8.1","","8.1","","100","","16","","9","","24.1","","97.88","","","","","","Clear"
"2012-06-02 03:00","2012","06","02","03:00"," ","9.5","","9.5","","100","","22","","9","","24.1","","97.90","","","","","","Mainly Clear"
"2012-06-02 04:00","2012","06","02","04:00"," ","7.9","","7.9","","100","","18","","7","","9.7","","97.91","","","","","","Fog"
"2012-06-02 05:00","2012","06","02","05:00"," ","7.9","","7.9","","100","","18","","9","","16.1","","97.90","","","","","","Mainly Clear"
"2012-06-02 06:00","2012","06","02","06:00"," ","10.8","","10.8","","100","","26","","6","","16.1","","97.91","","","","","","Clear"
"2012-06-02 07:00","2012","06","02","07:00"," ","13.5","","11.6","","88","","19","","7","","24.1","","97.93","","","","","","Clear"
