Year,Month,Day,Time,Temp,Weather
2011,12,1,00:00,-10.5,Mostly Cloudy
2011,12,1,01:00,-10.8,Mainly Clear
2011,12,1,02:00,-11.7,Mainly Clear
2011,12,1,03:00,-13.1,Mainly Clear
2011,12,1,04:00,-14.7,Clear
2011,12,1,05:00,-14.9,Clear
2011,12,1,06:00,-16.8,Clear
2011,12,1,07:00,-17,Clear
2011,12,1,08:00,-16.9,Clear
2011,12,1,09:00,-15.1,Clear
2011,12,1,10:00,-12.3,Mainly Clear
2011,12,1,11:00,-10.3,Mostly Cloudy
2011,12,1,12:00,-8.5,Mostly Cloudy
2011,12,1,13:00,-7.4,Cloudy
2011,12,1,14:00,-6.6,Snow
2011,12,1,15:00,-5.8,Snow
2011,12,1,16:00,-5.4,Snow
2011,12,1,17:00,-5.1,Cloudy
2011,12,1,18:00,-3.9,Cloudy
2011,12,1,19:00,-3.9,Mostly Cloudy
2011,12,1,20:00,-5.5,Mainly Clear
2011,12,1,21:00,-6.1,Mainly Clear
2011,12,1,22:00,-6.4,Mainly Clear
2011,12,1,23:00,-5.8,Mostly Cloudy
2011,12,2,00:00,-4.7,Cloudy
2011,12,2,01:00,-4.2,Cloudy
2011,12,2,02:00,-3.9,Cloudy
2011,12,2,03:00,-4.3,Cloudy
2011,12,2,04:00,-3.8,Cloudy
2011,12,2,05:00,-2.9,Cloudy
2011,12,2,06:00,,
2011,12,2,07:00,-2.4,Cloudy
2011,12,2,08:00,-2.4,Cloudy
2011,12,2,09:00,-2.1,Cloudy
2011,12,2,10:00,-1.8,Cloudy
2011,12,2,11:00,-2.6,Cloudy
2011,12,2,12:00,-1.8,Cloudy
2011,12,2,13:00,-0.8,Cloudy
2011,12,2,14:00,0,Mostly Cloudy
2011,12,2,15:00,-0.1,Mostly Cloudy
2011,12,2,16:00,1.3,Mostly Cloudy
2011,12,2,17:00,0.8,Mostly Cloudy
2011,12,2,18:00,1.1,Cloudy
2011,12,2,19:00,1.3,Cloudy
2011,12,2,20:00,1.3,Mainly Clear
2011,12,2,21:00,-0.2,Mostly Cloudy
2011,12,2,22:00,-0.2,Mainly Clear
2011,12,2,23:00,-0.6,Mainly Clear
2011,12,3,00:00,-0.8,Mainly Clear
2011,12,3,01:00,-0.8,Mostly Cloudy
2011,12,3,02:00,-0.8,Mostly Cloudy
2011,12,3,03:00,-0.3,Snow Showers
2011,12,3,04:00,-0.2,Snow Showers
2011,12,3,05:00,-2.8,Cloudy
2011,12,3,06:00,-3.9,Cloudy
2011,12,3,07:00,-5.7,Cloudy
2011,12,3,08:00,-6.7,Snow Showers
2011,12,3,09:00,-7.4,Mostly Cloudy
2011,12,3,10:00,-7.1,Snow Showers
2011,12,3,11:00,-7.4,Snow Showers
2011,12,3,12:00,-7.3,Snow Showers
2011,12,3,13:00,-7.4,Snow Showers
2011,12,3,14:00,-7.4,Snow Showers
2011,12,3,15:00,-7.4,Snow Showers
2011,12,3,16:00,-7.5,Snow Showers
2011,12,3,17:00,-11,Mainly Clear
2011,12,3,18:00,-11.8,Mainly Clear
2011,12,3,19:00,-14.5,Mainly Clear
2011,12,3,20:00,-11.3,Mostly Cloudy
2011,12,3,21:00,-9.8,Cloudy
2011,12,3,22:00,-8.2,Cloudy
2011,12,3,23:00,-8.5,Cloudy
2011,12,4,00:00,-8.7,Cloudy
2011,12,4,01:00,-8.4,Cloudy
2011,12,4,02:00,-8.4,Cloudy
2011,12,4,03:00,-8,Cloudy
2011,12,4,04:00,-8.2,Cloudy
2011,12,4,05:00,-8.5,Snow Showers
2011,12,4,06:00,-8.8,Snow Showers
2011,12,4,07:00,-8.8,Snow Showers
2011,12,4,08:00,-8.5,Snow Showers
2011,12,4,09:00,-8.2,Snow
2011,12,4,10:00,-8.6,Snow
2011,12,4,11:00,-7.9,Snow
2011,12,4,12:00,-8.2,Snow
2011,12,4,13:00,-8.2,Snow
2011,12,4,14:00,-8.4,Snow Showers
2011,12,4,15:00,-8.5,Snow Showers
2011,12,4,16:00,-10.5,Snow Showers
2011,12,4,17:00,-12.9,Mainly Clear
2011,12,4,18:00,-13.5,Mainly Clear
2011,12,4,19:00,-14.2,Mainly Clear
2011,12,4,20:00,-15.6,Clear
2011,12,4,21:00,-17.1,Clear
2011,12,4,22:00,-18.3,Clear
2011,12,4,23:00,-21,Clear
2011,12,5,00:00,-21.8,Clear
2011,12,5,01:00,-22,Clear
2011,12,5,02:00,-22.9,Clear
2011,12,5,03:00,-22.9,Clear
2011,12,5,04:00,-22.8,Clear
2011,12,5,05:00,-23.3,Clear
2011,12,5,06:00,-24,Clear
2011,12,5,07:00,-23.3,Clear
2011,12,5,08:00,-22.4,Clear
2011,12,5,09:00,-21.2,Clear
2011,12,5,10:00,-19.1,Clear
2011,12,5,11:00,-16.8,Clear
2011,12,5,12:00,-16,Clear
2011,12,5,13:00,-15.1,Clear
2011,12,5,14:00,-14.6,Mainly Clear
2011,12,5,15:00,-14.9,Mainly Clear
2011,12,5,16:00,-15.2,Mainly Clear
2011,12,5,17:00,-16.2,Clear
2011,12,5,18:00,-16.4,Clear
2011,12,5,19:00,-16.6,Clear
2011,12,5,20:00,-17,Clear
2011,12,5,21:00,-17.5,Clear
2011,12,5,22:00,-17,Clear
2011,12,5,23:00,-16.7,Clear
2011,12,6,00:00,-16.2,Clear
2011,12,6,01:00,-16.4,Mainly Clear
2011,12,6,02:00,-16,Mainly Clear
2011,12,6,03:00,-16.3,Mainly Clear
2011,12,6,04:00,-16.2,Clear
2011,12,6,05:00,-15.5,Clear
2011,12,6,06:00,-14.9,Clear
2011,12,6,07:00,-14.6,Mainly Clear
2011,12,6,08:00,-14.1,Mainly Clear
2011,12,6,09:00,-13,Mostly Cloudy
2011,12,6,10:00,-11.2,Mostly Cloudy
2011,12,6,11:00,-9.6,Snow
2011,12,6,12:00,-8.1,Snow
2011,12,6,13:00,-6.4,Mostly Cloudy
2011,12,6,14:00,-3.6,Mostly Cloudy
2011,12,6,15:00,-3.2,Mostly Cloudy
2011,12,6,16:00,-2.8,Mostly Cloudy
2011,12,6,17:00,-2.6,Mostly Cloudy
2011,12,6,18:00,-2.7,Cloudy
2011,12,6,19:00,-2.1,Cloudy
2011,12,6,20:00,-1.9,Cloudy
