"Date/Time","Year","Month","Day","Time","Data Quality","Temp","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2011-08-01 00:00","2011","08","01","00:00"," ","18.6","","14.0","","75","","16","","13","","24.1","","98.51","","","","","","Clear"
"2011-08-01 01:00","2011","08","01","01:00"," ","19.8","","13.9","","69","","14","","15","","24.1","","98.42","","","","","","Clear"
"2011-08-01 02:00","2011","08","01","02:00"," ","20.4","","13.8","","66","","14","","15","","24.1","","98.33","","","","","","Clear"
"2011-08-01 03:00","2011","08","01","03:00"," ","21.9","","13.6","","59","","15","","19","","24.1","","98.35","","25","","","","Mostly Cloudy"
"2011-08-01 04:00","2011","08","01","04:00"," ","21.6","","13.7","","61","","16","","15","","24.1","","98.25","","25","","","","Mostly Cloudy"
"2011-08-01 05:00","2011","08","01","05:00"," ","20.0","","14.0","","68","","14","","19","","24.1","","98.27","","","","","","Mostly Cloudy"
"2011-08-01 06:00","2011","08","01","06:00"," ","19.9","","15.8","","77","","14","","17","","24.1","","98.26","","","","","","Mostly Cloudy"
"2011-08-01 07:00","2011","08","01","07:00"," ","21.4","","18.0","","81","","18","","15","","24.1","","98.20","","27","","","","Mainly Clear"
"2011-08-01 08:00","2011","08","01","08:00"," ","23.7","","18.6","","73","","19","","19","","24.1","","98.12","","30","","","","Mainly Clear"
"2011-08-01 09:00","2011","08","01","09:00"," ","26.1","","18.3","","62","","18","","20","","24.1","","98.08","","32","","","","Mostly Cloudy"
"2011-08-01 10:00","2011","08","01","10:00"," ","27.5","","18.1","","57","","18","","28","","24.1","","98.07","","34","","","","Mostly Cloudy"
"2011-08-01 11:00","2011","08","01","11:00"," ","29.4","","18.5","","52","","18","","33","","24.1","","97.99","","36","","","","Mostly Cloudy"
"2011-08-01 12:00","2011","08","01","12:00"," ","30.7","","19.2","","50","","17","","32","","24.1","","97.95","","38","","","","Mainly Clear"
"2011-08-01 13:00","2011","08","01","13:00"," ","30.5","","20.0","","54","","19","","26","","24.1","","97.90","","38","","","","Mainly Clear"
"2011-08-01 14:00","2011","08","01","14:00"," ","30.1","","19.7","","54","","20","","24","","24.1","","97.90","","37","","","","Mostly Cloudy"
"2011-08-01 15:00","2011","08","01","15:00"," ","30.2","","20.4","","56","","20","","24","","24.1","","97.90","","38","","","","Mostly Cloudy"
"2011-08-01 16:00","2011","08","01","16:00"," ","29.9","","20.5","","57","","22","","11","","24.1","","97.89","","38","","","","Cloudy"
"2011-08-01 17:00","2011","08","01","17:00"," ","29.4","","21.3","","62","","20","","15","","24.1","","97.84","","38","","","","Cloudy"
"2011-08-01 18:00","2011","08","01","18:00"," ","28.3","","21.6","","67","","20","","15","","24.1","","97.83","","37","","","","Cloudy"
"2011-08-01 19:00","2011","08","01","19:00"," ","26.8","","22.9","","79","","20","","17","","12.9","","97.89","","37","","","","Rain Showers"
"2011-08-01 20:00","2011","08","01","20:00"," ","24.4","","23.5","","95","","21","","13","","19.3","","97.87","","35","","","","Rain Showers"
"2011-08-01 21:00","2011","08","01","21:00"," ","24.4","","23.6","","95","","20","","11","","19.3","","97.91","","35","","","","Rain Showers"
"2011-08-01 22:00","2011","08","01","22:00"," ","23.8","","23.3","","97","","17","","11","","19.3","","97.71","","34","","","","Rain Showers"
"2011-08-01 23:00","2011","08","01","23:00"," ","23.7","","23.1","","96","","23","","13","","24.1","","97.68","","34","","","","Mostly Cloudy"
