"Date/Time","Year","Month","Day","Time","Data Quality","Temp","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2012-12-01 00:00","2012","12","01","00:00"," ","-0.9","","-0.9","","100","","17","","41","","3.2","","98.05","","","","-9","","Fog"
"2012-12-01 01:00","2012","12","01","01:00"," ","-0.7","","-0.7","","100","","17","","30","","3.2","","97.92","","","","-7","","Fog"
"2012-12-01 02:00","2012","12","01","02:00"," ","-0.2","","-0.4","","99","","18","","37","","4.0","","97.87","","","","-7","","Fog"
"2012-12-01 03:00","2012","12","01","03:00"," ","0.1","","0.0","","99","","17","","32","","4.8","","97.84","","","","","","Fog"
"2012-12-01 04:00","2012","12","01","04:00"," ","0.4","","0.4","","100","","17","","28","","4.8","","97.69","","","","","","Freezing Rain,Fog"
"2012-12-01 05:00","2012","12","01","05:00"," ","0.7","","0.7","","100","","19","","22","","4.8","","97.67","","","","","","Freezing Rain,Fog"
"2012-12-01 06:00","2012","12","01","06:00"," ","0.9","","0.8","","99","","18","","19","","3.2","","97.65","","","","","","Rain,Fog"
"2012-12-01 07:00","2012","12","01","07:00"," ","0.9","","0.7","","99","","20","","17","","4.0","","97.67","","","","","","Fog"
"2012-12-01 08:00","2012","12","01","08:00"," ","0.8","","0.7","","99","","20","","13","","4.0","","97.69","","","","","","Fog"
"2012-12-01 09:00","2012","12","01","09:00"," ","0.7","","0.6","","99","","24","","9","","3.2","","97.72","","","","","","Fog"
"2012-12-01 10:00","2012","12","01","10:00"," ","0.6","","0.5","","99","","29","","17","","3.2","","97.76","","","","","","Fog"
"2012-12-01 11:00","2012","12","01","11:00"," ","0.6","","0.3","","98","","32","","17","","3.2","","97.83","","","","","","Fog"
"2012-12-01 12:00","2012","12","01","12:00"," ","-0.8","","-0.9","","99","","32","","30","","4.8","","97.88","","","","-8","","Fog"
"2012-12-01 13:00","2012","12","01","13:00"," ","-1.4","","-1.8","","97","","33","","30","","4.8","","97.86","","","","-8","","Freezing Drizzle,Fog"
"2012-12-01 14:00","2012","12","01","14:00"," ","-1.9","","-2.8","","94","","33","","26","","9.7","","97.94","","","","-8","","Fog"
"2012-12-01 15:00","2012","12","01","15:00"," ","-3.7","","-4.4","","95","","32","","28","","9.7","","98.02","","","","-11","","Fog"
"2012-12-01 16:00","2012","12","01","16:00"," ","-4.4","","-5.1","","95","","32","","24","","6.4","","98.17","","","","-11","","Fog"
"2012-12-01 17:00","2012","12","01","17:00"," ","-4.7","","-5.5","","94","","33","","22","","8.0","","98.21","","","","-12","","Fog"
"2012-12-01 18:00","2012","12","01","18:00"," ","-5.2","","-6.0","","94","","33","","20","","8.0","","98.26","","","","-12","","Freezing Drizzle"
"2012-12-01 19:00","2012","12","01","19:00"," ","-5.6","","-6.5","","93","","32","","17","","12.9","","98.28","","","","-12","","Cloudy"
"2012-12-01 20:00","2012","12","01","20:00"," ","-6.4","","-7.7","","90","","1","","19","","16.1","","98.30","","","","-13","","Cloudy"
