Year,Month,Day,Time,Temp,Weather
2012,5,1,00:00,13.7,Mostly Cloudy
2012,5,1,01:00,12.4,Mostly Cloudy
2012,5,1,02:00,11.3,Rain Showers
2012,5,1,03:00,10.1,Rain Showers
2012,5,1,04:00,9.2,Rain Showers
2012,5,1,05:00,10.3,Rain Showers
2012,5,1,06:00,10.2,Moderate Rain Showers
2012,5,1,07:00,10.7,Rain Showers
2012,5,1,08:00,10.9,Rain Showers
2012,5,1,09:00,12.4,Mostly Cloudy
2012,5,1,10:00,14.2,Mostly Cloudy
2012,5,1,11:00,15.7,Mostly Cloudy
2012,5,1,12:00,14.8,Rain Showers
2012,5,1,13:00,15.5,Cloudy
2012,5,1,14:00,17.3,Mostly Cloudy
2012,5,1,15:00,13.5,Rain Showers
2012,5,1,16:00,12.4,Rain Showers
2012,5,1,17:00,13.2,Mostly Cloudy
2012,5,1,18:00,13,Rain Showers
2012,5,1,19:00,,
2012,5,1,20:00,,
2012,5,1,21:00,10.7,Mostly Cloudy
2012,5,1,22:00,9.7,Mostly Cloudy
2012,5,1,23:00,8.7,Mostly Cloudy
2012,5,2,00:00,7.9,Cloudy
2012,5,2,01:00,8.5,Cloudy
2012,5,2,02:00,9.5,Rain Showers
2012,5,2,03:00,8.4,Cloudy
2012,5,2,04:00,8.7,Fog
2012,5,2,05:00,8.1,Fog
2012,5,2,06:00,8.3,Fog
2012,5,2,07:00,8.6,"Drizzle,Fog"
2012,5,2,08:00,9.4,Mostly Cloudy
2012,5,2,09:00,10.8,Mostly Cloudy
2012,5,2,10:00,13.4,Mostly Cloudy
2012,5,2,11:00,14.1,Mostly Cloudy
2012,5,2,12:00,14.1,Mostly Cloudy
2012,5,2,13:00,13.9,Mainly Clear
2012,5,2,14:00,14.5,Mainly Clear
2012,5,2,15:00,15.5,Mainly Clear
2012,5,2,16:00,14.9,Mostly Cloudy
2012,5,2,17:00,13.6,Mainly Clear
2012,5,2,18:00,10.8,Mostly Cloudy
2012,5,2,19:00,8.6,Mostly Cloudy
2012,5,2,20:00,6.7,Mainly Clear
2012,5,2,21:00,5.8,Mostly Cloudy
2012,5,2,22:00,5.3,Mainly Clear
2012,5,2,23:00,5.5,Mostly Cloudy
2012,5,3,00:00,5.8,Cloudy
2012,5,3,01:00,5.3,Mostly Cloudy
2012,5,3,02:00,4.7,Mostly Cloudy
2012,5,3,03:00,4.4,Cloudy
2012,5,3,04:00,4.5,Rain Showers
2012,5,3,05:00,3.7,Cloudy
2012,5,3,06:00,3.6,Mostly Cloudy
2012,5,3,07:00,4.3,Cloudy
2012,5,3,08:00,4.6,Cloudy
2012,5,3,09:00,4.8,Rain
2012,5,3,10:00,4.9,Rain
2012,5,3,11:00,6.5,Mostly Cloudy
2012,5,3,12:00,7.5,Mostly Cloudy
2012,5,3,13:00,9,Mainly Clear
2012,5,3,14:00,10.4,Mainly Clear
2012,5,3,15:00,11.5,Mainly Clear
2012,5,3,16:00,11.9,Mainly Clear
2012,5,3,17:00,12.1,Clear
2012,5,3,18:00,11.5,Clear
2012,5,3,19:00,10,Clear
2012,5,3,20:00,8.1,Mainly Clear
2012,5,3,21:00,6.6,Mainly Clear
2012,5,3,22:00,3.9,Mainly Clear
2012,5,3,23:00,4.4,Mainly Clear
2012,5,4,00:00,2.1,Mainly Clear
2012,5,4,01:00,,
2012,5,4,02:00,1.6,Mainly Clear
2012,5,4,03:00,3.5,Mainly Clear
2012,5,4,04:00,3.2,Mainly Clear
2012,5,4,05:00,2.6,Mostly Cloudy
2012,5,4,06:00,3.1,Mostly Cloudy
2012,5,4,07:00,4.8,Mostly Cloudy
2012,5,4,08:00,6.6,Mostly Cloudy
2012,5,4,09:00,6.8,Mostly Cloudy
2012,5,4,10:00,7.6,Mostly Cloudy
2012,5,4,11:00,9.9,Mostly Cloudy
2012,5,4,12:00,11.7,Mostly Cloudy
2012,5,4,13:00,11.4,Cloudy
2012,5,4,14:00,11.9,Mostly Cloudy
2012,5,4,15:00,13,Cloudy
2012,5,4,16:00,13.4,Cloudy
2012,5,4,17:00,13.1,Cloudy
2012,5,4,18:00,13.1,Cloudy
2012,5,4,19:00,12.3,Cloudy
2012,5,4,20:00,11.6,Cloudy
2012,5,4,21:00,11.1,Cloudy
2012,5,4,22:00,10.9,Cloudy
2012,5,4,23:00,10.7,Cloudy
2012,5,5,00:00,10.7,Cloudy
2012,5,5,01:00,10.7,Cloudy
2012,5,5,02:00,9.8,Rain
2012,5,5,03:00,9.5,Cloudy
2012,5,5,04:00,9.3,Cloudy
2012,5,5,05:00,9.4,Cloudy
2012,5,5,06:00,9.7,Cloudy
2012,5,5,07:00,10.5,Mainly Clear
2012,5,5,08:00,11.8,Mainly Clear
2012,5,5,09:00,12.4,Mostly Cloudy
2012,5,5,10:00,14.2,Mainly Clear
2012,5,5,11:00,15.4,Mostly Cloudy
2012,5,5,12:00,16.7,Mostly Cloudy
2012,5,5,13:00,17.3,Mostly Cloudy
2012,5,5,14:00,18.5,Mostly Cloudy
2012,5,5,15:00,18.5,Mostly Cloudy
2012,5,5,16:00,18.5,Mostly Cloudy
2012,5,5,17:00,18.1,Mostly Cloudy
2012,5,5,18:00,17.7,Mostly Cloudy
2012,5,5,19:00,16.4,Mostly Cloudy
2012,5,5,20:00,14.7,Mostly Cloudy
2012,5,5,21:00,12.8,Mostly Cloudy
2012,5,5,22:00,11.4,Mostly Cloudy
2012,5,5,23:00,11.3,Mostly Cloudy
2012,5,6,00:00,11,Mostly Cloudy
2012,5,6,01:00,11,Mostly Cloudy
2012,5,6,02:00,11.2,Mostly Cloudy
2012,5,6,03:00,11,Cloudy
2012,5,6,04:00,11.1,Mostly Cloudy
2012,5,6,05:00,11.1,Rain Showers
2012,5,6,06:00,11.1,Cloudy
2012,5,6,07:00,11.4,Cloudy
2012,5,6,08:00,11.1,Rain Showers
2012,5,6,09:00,10.2,"Rain,Fog"
2012,5,6,10:00,10.7,Rain
2012,5,6,11:00,11.4,"Rain,Fog"
2012,5,6,12:00,11.4,Rain
2012,5,6,13:00,12.1,Cloudy
2012,5,6,14:00,13.1,Cloudy
2012,5,6,15:00,16.4,Mainly Clear
2012,5,6,16:00,17.9,Mainly Clear
2012,5,6,17:00,17.6,Mainly Clear
2012,5,6,18:00,16.9,Mostly Cloudy
2012,5,6,19:00,16,Mostly Cloudy
2012,5,6,20:00,14.9,Mostly Cloudy
2012,5,6,21:00,12,Mostly Cloudy
2012,5,6,22:00,8.6,Mainly Clear
2012,5,6,23:00,11.1,Mostly Cloudy
2012,5,7,00:00,11,Cloudy
2012,5,7,01:00,11,Cloudy
2012,5,7,02:00,,
2012,5,7,03:00,,
2012,5,7,04:00,8.1,Rain Showers
2012,5,7,05:00,,
2012,5,7,06:00,8.6,Mostly Cloudy
2012,5,7,07:00,9.3,Cloudy
2012,5,7,08:00,9.9,Rain Showers
2012,5,7,09:00,,
2012,5,7,10:00,10.3,Rain Showers
2012,5,7,11:00,12.2,Mostly Cloudy
2012,5,7,12:00,12,Mostly Cloudy
2012,5,7,13:00,13.1,Cloudy
2012,5,7,14:00,12.5,Rain Showers
2012,5,7,15:00,10.9,Rain Showers
2012,5,7,16:00,11.3,Rain Showers
2012,5,7,17:00,11.1,Cloudy
2012,5,7,18:00,10.4,Rain Showers
2012,5,7,19:00,10,Rain Showers
2012,5,7,20:00,9.7,Cloudy
2012,5,7,21:00,8.9,"Drizzle,Fog"
2012,5,7,22:00,9,Drizzle
2012,5,7,23:00,8.4,Drizzle
2012,5,8,00:00,8.3,Drizzle
2012,5,8,01:00,8,Rain
2012,5,8,02:00,7.9,Rain
2012,5,8,03:00,7.6,Mostly Cloudy
2012,5,8,04:00,7.2,Mostly Cloudy
2012,5,8,05:00,7.3,Cloudy
2012,5,8,06:00,7.4,Cloudy
2012,5,8,07:00,8.1,Mostly Cloudy
2012,5,8,08:00,9.4,Mostly Cloudy
2012,5,8,09:00,10.3,Mostly Cloudy
2012,5,8,10:00,10.1,Mostly Cloudy
2012,5,8,11:00,11.4,Mostly Cloudy
2012,5,8,12:00,13.2,Mostly Cloudy
2012,5,8,13:00,14.2,Mostly Cloudy
2012,5,8,14:00,15.3,Mainly Clear
2012,5,8,15:00,16.4,Mainly Clear
2012,5,8,16:00,15.4,Mainly Clear
2012,5,8,17:00,16.5,Mainly Clear
2012,5,8,18:00,16.3,Mainly Clear
2012,5,8,19:00,15.3,Mainly Clear
2012,5,8,20:00,12.1,Mainly Clear
2012,5,8,21:00,7.8,Mainly Clear
2012,5,8,22:00,7.1,Mainly Clear
2012,5,8,23:00,6.7,Clear
2012,5,9,00:00,5.3,Clear
2012,5,9,01:00,4.2,Clear
2012,5,9,02:00,4,Clear
2012,5,9,03:00,5.3,Clear
2012,5,9,04:00,3.2,Mainly Clear
2012,5,9,05:00,2.8,Mainly Clear
2012,5,9,06:00,6,Mostly Cloudy
2012,5,9,07:00,10.4,Mostly Cloudy
2012,5,9,08:00,13.6,Mostly Cloudy
2012,5,9,09:00,15.6,Mostly Cloudy
2012,5,9,10:00,17.1,Mostly Cloudy
2012,5,9,11:00,17.3,Mostly Cloudy
2012,5,9,12:00,18.6,Mostly Cloudy
2012,5,9,13:00,18.9,Mostly Cloudy
2012,5,9,14:00,19.4,Mainly Clear
2012,5,9,15:00,19.9,Mainly Clear
2012,5,9,16:00,20.5,Mostly Cloudy
2012,5,9,17:00,20.6,Mostly Cloudy
2012,5,9,18:00,19.6,Cloudy
2012,5,9,19:00,18.4,Cloudy
2012,5,9,20:00,16,Cloudy
2012,5,9,21:00,15.3,Mostly Cloudy
2012,5,9,22:00,13.7,Mostly Cloudy
2012,5,9,23:00,14.5,Mostly Cloudy
2012,5,10,00:00,13.6,Mostly Cloudy
2012,5,10,01:00,12.7,Mainly Clear
2012,5,10,02:00,12,Mostly Cloudy
2012,5,10,03:00,11.8,Mostly Cloudy
2012,5,10,04:00,11.3,Mostly Cloudy
2012,5,10,05:00,10.8,Mostly Cloudy
2012,5,10,06:00,11.2,Mainly Clear
2012,5,10,07:00,13.1,Mainly Clear
2012,5,10,08:00,15.6,Mainly Clear
2012,5,10,09:00,18.4,Mainly Clear
2012,5,10,10:00,20.4,Mainly Clear
2012,5,10,11:00,23,Mainly Clear
2012,5,10,12:00,24.9,Mainly Clear
2012,5,10,13:00,26.2,Mostly Cloudy
2012,5,10,14:00,26.2,Mostly Cloudy
2012,5,10,15:00,27.3,Mostly Cloudy
2012,5,10,16:00,27.5,Mostly Cloudy
2012,5,10,17:00,27.3,Mostly Cloudy
2012,5,10,18:00,26.3,Cloudy
2012,5,10,19:00,25.8,Cloudy
2012,5,10,20:00,16.2,Cloudy
2012,5,10,21:00,13.4,Cloudy
2012,5,10,22:00,12.1,Rain Showers
2012,5,10,23:00,10,"Thunderstorms,Moderate Rain Showers"
2012,5,11,00:00,10,Cloudy
2012,5,11,01:00,9,Mainly Clear
2012,5,11,02:00,9.1,Mostly Cloudy
2012,5,11,03:00,9,Mostly Cloudy
2012,5,11,04:00,8.6,Cloudy
2012,5,11,05:00,7.8,Cloudy
2012,5,11,06:00,7.9,Mostly Cloudy
2012,5,11,07:00,8.4,Mostly Cloudy
2012,5,11,08:00,9.4,Mainly Clear
2012,5,11,09:00,10.9,Mainly Clear
2012,5,11,10:00,13,Mainly Clear
2012,5,11,11:00,13.8,Mainly Clear
2012,5,11,12:00,15.4,Mainly Clear
2012,5,11,13:00,14.2,Mostly Cloudy
2012,5,11,14:00,14.6,Mostly Cloudy
2012,5,11,15:00,16.4,Mainly Clear
2012,5,11,16:00,16.7,Mainly Clear
2012,5,11,17:00,16.4,Mainly Clear
2012,5,11,18:00,14.6,Mainly Clear
2012,5,11,19:00,14.6,Mainly Clear
2012,5,11,20:00,12.1,Clear
2012,5,11,21:00,10.4,Clear
2012,5,11,22:00,9.6,Clear
2012,5,11,23:00,9,Clear
2012,5,12,00:00,9.6,Clear
2012,5,12,01:00,8.8,Clear
2012,5,12,02:00,8.3,Clear
2012,5,12,03:00,8.2,Clear
2012,5,12,04:00,8,Clear
2012,5,12,05:00,7.9,Clear
2012,5,12,06:00,8.3,Mainly Clear
2012,5,12,07:00,10.7,Mainly Clear
2012,5,12,08:00,14.7,Mostly Cloudy
2012,5,12,09:00,15.5,Mostly Cloudy
2012,5,12,10:00,18.8,Mainly Clear
2012,5,12,11:00,19.8,Mainly Clear
2012,5,12,12:00,21,Clear
2012,5,12,13:00,20.6,Clear
2012,5,12,14:00,21.1,Clear
2012,5,12,15:00,,
2012,5,12,16:00,22,Mainly Clear
2012,5,12,17:00,22.2,Mainly Clear
2012,5,12,18:00,21.7,Mainly Clear
2012,5,12,19:00,20.4,Mainly Clear
2012,5,12,20:00,17,Mostly Cloudy
2012,5,12,21:00,15,Mostly Cloudy
2012,5,12,22:00,13.8,Mostly Cloudy
2012,5,12,23:00,13.8,Mostly Cloudy
2012,5,13,00:00,13.5,Mostly Cloudy
2012,5,13,01:00,14.2,Mostly Cloudy
2012,5,13,02:00,12,Mostly Cloudy
2012,5,13,03:00,12,Mainly Clear
2012,5,13,04:00,12.8,Mainly Clear
2012,5,13,05:00,11.4,Mostly Cloudy
2012,5,13,06:00,12.2,Mainly Clear
2012,5,13,07:00,15.2,Mainly Clear
2012,5,13,08:00,18.7,Mostly Cloudy
2012,5,13,09:00,20.5,Mostly Cloudy
2012,5,13,10:00,22.6,Mainly Clear
2012,5,13,11:00,24.4,Mainly Clear
2012,5,13,12:00,25.1,Mainly Clear
2012,5,13,13:00,26.2,Clear
2012,5,13,14:00,26.8,Mainly Clear
2012,5,13,15:00,27.2,Mainly Clear
2012,5,13,16:00,27,Mainly Clear
2012,5,13,17:00,27.2,Mainly Clear
2012,5,13,18:00,25.5,Mainly Clear
2012,5,13,19:00,23.5,Mainly Clear
2012,5,13,20:00,18.4,Mainly Clear
2012,5,13,21:00,13.3,Mainly Clear
2012,5,13,22:00,13,Mainly Clear
2012,5,13,23:00,12.9,Mainly Clear
2012,5,14,00:00,11.4,Clear
2012,5,14,01:00,9.7,Clear
2012,5,14,02:00,8.4,Clear
2012,5,14,03:00,6.8,Clear
2012,5,14,04:00,7.1,Clear
2012,5,14,05:00,9.1,Mainly Clear
2012,5,14,06:00,11.1,Mainly Clear
2012,5,14,07:00,14.9,Mainly Clear
2012,5,14,08:00,17.3,Mostly Cloudy
2012,5,14,09:00,19.2,Mostly Cloudy
2012,5,14,10:00,21.3,Mainly Clear
2012,5,14,11:00,24.1,Mostly Cloudy
2012,5,14,12:00,26.5,Mainly Clear
2012,5,14,13:00,27.6,Mostly Cloudy
2012,5,14,14:00,27.5,Mostly Cloudy
2012,5,14,15:00,28.3,Mostly Cloudy
2012,5,14,16:00,26.9,Mostly Cloudy
2012,5,14,17:00,25.7,Rain Showers
2012,5,14,18:00,23.2,Mostly Cloudy
2012,5,14,19:00,24.2,Mostly Cloudy
2012,5,14,20:00,21.6,Mainly Clear
2012,5,14,21:00,18,Blowing Dust
2012,5,14,22:00,14.5,Mainly Clear
2012,5,14,23:00,13.7,Clear
2012,5,15,00:00,12,Clear
2012,5,15,01:00,11,Clear
2012,5,15,02:00,10.5,Clear
2012,5,15,03:00,7.8,Clear
2012,5,15,04:00,8.2,Mainly Clear
2012,5,15,05:00,4.8,Mainly Clear
2012,5,15,06:00,6.9,Mainly Clear
2012,5,15,07:00,9.3,Mainly Clear
2012,5,15,08:00,11.2,Mainly Clear
2012,5,15,09:00,12.8,Mostly Cloudy
2012,5,15,10:00,12.8,Cloudy
2012,5,15,11:00,14.8,Mostly Cloudy
2012,5,15,12:00,14.2,Mostly Cloudy
2012,5,15,13:00,15.5,Mostly Cloudy
2012,5,15,14:00,14.9,Mainly Clear
2012,5,15,15:00,15.7,Mainly Clear
2012,5,15,16:00,16,Mainly Clear
2012,5,15,17:00,14.8,Mainly Clear
2012,5,15,18:00,13.4,Clear
2012,5,15,19:00,11.6,Mainly Clear
2012,5,15,20:00,9.5,Mainly Clear
2012,5,15,21:00,6.6,Mainly Clear
2012,5,15,22:00,5.9,Mainly Clear
