Year,Month,Day,Time,Temp,Weather
2012,8,1,00:00,24,Mainly Clear
2012,8,1,01:00,22.3,Mainly Clear
2012,8,1,02:00,22,Clear
2012,8,1,03:00,19.9,Clear
2012,8,1,04:00,18,Clear
2012,8,1,05:00,17.3,Mainly Clear
2012,8,1,06:00,18.9,Mostly Cloudy
2012,8,1,07:00,20.5,Mainly Clear
2012,8,1,08:00,21.6,Mostly Cloudy
2012,8,1,09:00,22.8,Mostly Cloudy
2012,8,1,10:00,22.5,Mostly Cloudy
2012,8,1,11:00,24.2,Mostly Cloudy
2012,8,1,12:00,27,Mostly Cloudy
2012,8,1,13:00,27.5,Cloudy
2012,8,1,14:00,26.4,Cloudy
2012,8,1,15:00,26.2,Cloudy
2012,8,1,16:00,26.6,Cloudy
2012,8,1,17:00,27.5,Cloudy
2012,8,1,18:00,24.9,Cloudy
2012,8,1,19:00,16.6,"Thunderstorms,Rain Showers"
2012,8,1,20:00,17.3,Mostly Cloudy
2012,8,1,21:00,16.4,Mostly Cloudy
2012,8,1,22:00,16,Mainly Clear
2012,8,1,23:00,15,Mainly Clear
2012,8,2,00:00,14.9,Mainly Clear
2012,8,2,01:00,13.5,Mainly Clear
2012,8,2,02:00,13.7,Mainly Clear
2012,8,2,03:00,13.8,Mainly Clear
2012,8,2,04:00,13.5,Mainly Clear
2012,8,2,05:00,12.5,Mainly Clear
2012,8,2,06:00,13.8,Mainly Clear
2012,8,2,07:00,16,Fog
2012,8,2,08:00,16.6,Fog
2012,8,2,09:00,19.4,Mostly Cloudy
2012,8,2,10:00,20.1,Mostly Cloudy
2012,8,2,11:00,21.1,Mostly Cloudy
2012,8,2,12:00,22.8,Mostly Cloudy
2012,8,2,13:00,23.8,Mostly Cloudy
2012,8,2,14:00,23.7,Mostly Cloudy
2012,8,2,15:00,25.2,Mostly Cloudy
2012,8,2,16:00,24.4,Mostly Cloudy
2012,8,2,17:00,24.5,Mostly Cloudy
2012,8,2,18:00,24.6,Mostly Cloudy
2012,8,2,19:00,24.1,Mostly Cloudy
2012,8,2,20:00,21.2,Mainly Clear
2012,8,2,21:00,20.8,Mainly Clear
2012,8,2,22:00,20.1,Mainly Clear
2012,8,2,23:00,18.2,Mainly Clear
2012,8,3,00:00,17.8,Mainly Clear
2012,8,3,01:00,18.6,Mainly Clear
2012,8,3,02:00,18.1,Mainly Clear
2012,8,3,03:00,18.1,Mainly Clear
2012,8,3,04:00,17.5,Mainly Clear
2012,8,3,05:00,16.9,Mainly Clear
2012,8,3,06:00,18.2,Mostly Cloudy
2012,8,3,07:00,19.6,Mostly Cloudy
2012,8,3,08:00,20.6,Cloudy
2012,8,3,09:00,20.9,Mostly Cloudy
2012,8,3,10:00,,
2012,8,3,11:00,23.8,Cloudy
2012,8,3,12:00,24.3,Cloudy
2012,8,3,13:00,24.9,Cloudy
2012,8,3,14:00,26.3,Cloudy
2012,8,3,15:00,24.9,Rain Showers
2012,8,3,16:00,24,Cloudy
2012,8,3,17:00,21.8,"Thunderstorms,Rain Showers"
2012,8,3,18:00,21.1,"Thunderstorms,Rain Showers"
2012,8,3,19:00,18.6,Cloudy
2012,8,3,20:00,18.5,Cloudy
2012,8,3,21:00,18.1,Cloudy
2012,8,3,22:00,17.7,Mostly Cloudy
2012,8,3,23:00,17.2,Mostly Cloudy
2012,8,4,00:00,16.8,Mostly Cloudy
2012,8,4,01:00,16.3,Mostly Cloudy
2012,8,4,02:00,15.3,Mainly Clear
2012,8,4,03:00,15.3,Mostly Cloudy
2012,8,4,04:00,14.9,Mainly Clear
2012,8,4,05:00,14.7,Mostly Cloudy
2012,8,4,06:00,15.3,Mostly Cloudy
2012,8,4,07:00,15.6,Cloudy
2012,8,4,08:00,15.7,"Rain Showers,Fog"
2012,8,4,09:00,14.6,"Heavy Rain Showers,Fog"
2012,8,4,10:00,14.2,"Moderate Rain Showers,Fog"
2012,8,4,11:00,13.6,"Moderate Rain Showers,Fog"
2012,8,4,12:00,14.1,Cloudy
2012,8,4,13:00,15.5,Cloudy
2012,8,4,14:00,17.3,Mostly Cloudy
2012,8,4,15:00,19.9,Mainly Clear
2012,8,4,16:00,20,Mostly Cloudy
2012,8,4,17:00,18.6,Mostly Cloudy
2012,8,4,18:00,19.2,Mainly Clear
2012,8,4,19:00,17.7,Mainly Clear
2012,8,4,20:00,14.1,Clear
2012,8,4,21:00,10.8,Clear
2012,8,4,22:00,10.6,Clear
2012,8,4,23:00,10,Clear
2012,8,5,00:00,9.6,Clear
2012,8,5,01:00,10,Clear
2012,8,5,02:00,10.1,Clear
2012,8,5,03:00,10,Clear
2012,8,5,04:00,9.7,Clear
2012,8,5,05:00,10.4,Mainly Clear
2012,8,5,06:00,10.7,Mainly Clear
2012,8,5,07:00,13.1,Mainly Clear
2012,8,5,08:00,16.4,Mainly Clear
2012,8,5,09:00,,
2012,8,5,10:00,22.2,Mainly Clear
2012,8,5,11:00,23.3,Mainly Clear
2012,8,5,12:00,24.1,Mainly Clear
2012,8,5,13:00,25.8,Mainly Clear
2012,8,5,14:00,26.9,Mainly Clear
2012,8,5,15:00,27.2,Mostly Cloudy
2012,8,5,16:00,26.5,Mostly Cloudy
2012,8,5,17:00,28,Mostly Cloudy
2012,8,5,18:00,28.2,Mostly Cloudy
2012,8,5,19:00,27.2,Mainly Clear
2012,8,5,20:00,23.8,Mainly Clear
2012,8,5,21:00,23.5,Mainly Clear
2012,8,5,22:00,21.2,Clear
2012,8,5,23:00,20,Clear
2012,8,6,00:00,19.8,Clear
2012,8,6,01:00,18.5,Clear
2012,8,6,02:00,19.1,Clear
2012,8,6,03:00,18.3,Clear
2012,8,6,04:00,17.7,Mainly Clear
2012,8,6,05:00,17,Mostly Cloudy
2012,8,6,06:00,17.5,Mostly Cloudy
2012,8,6,07:00,20,Mainly Clear
2012,8,6,08:00,21.6,Mainly Clear
2012,8,6,09:00,,
2012,8,6,10:00,26.1,Mainly Clear
2012,8,6,11:00,26.4,Mainly Clear
2012,8,6,12:00,26.5,Mainly Clear
2012,8,6,13:00,26.6,Mainly Clear
2012,8,6,14:00,26.5,Mainly Clear
2012,8,6,15:00,26.9,Mostly Cloudy
2012,8,6,16:00,26.3,Mostly Cloudy
2012,8,6,17:00,25.7,Mostly Cloudy
2012,8,6,18:00,24.4,Mostly Cloudy
2012,8,6,19:00,22.9,Mainly Clear
2012,8,6,20:00,19.7,Mainly Clear
2012,8,6,21:00,17.9,Mainly Clear
2012,8,6,22:00,13.9,Clear
2012,8,6,23:00,12.3,Clear
2012,8,7,00:00,12.4,Clear
2012,8,7,01:00,11.8,Clear
2012,8,7,02:00,10.7,Clear
2012,8,7,03:00,10.3,Clear
2012,8,7,04:00,10,Clear
2012,8,7,05:00,10.5,Mainly Clear
2012,8,7,06:00,11.4,Mainly Clear
2012,8,7,07:00,14.4,Mainly Clear
2012,8,7,08:00,18.1,Mainly Clear
2012,8,7,09:00,20.3,Mainly Clear
2012,8,7,10:00,21.2,Mostly Cloudy
2012,8,7,11:00,22.3,Mostly Cloudy
2012,8,7,12:00,22.9,Mostly Cloudy
2012,8,7,13:00,23.8,Mostly Cloudy
2012,8,7,14:00,23.9,Mostly Cloudy
2012,8,7,15:00,25.5,Mainly Clear
2012,8,7,16:00,24.7,Mostly Cloudy
2012,8,7,17:00,25.3,Mostly Cloudy
2012,8,7,18:00,24.3,Mostly Cloudy
2012,8,7,19:00,22.3,Mostly Cloudy
2012,8,7,20:00,20,Mostly Cloudy
2012,8,7,21:00,18.4,Mostly Cloudy
2012,8,7,22:00,18,Mostly Cloudy
2012,8,7,23:00,16.5,Mainly Clear
2012,8,8,00:00,14.6,Mainly Clear
2012,8,8,01:00,13.5,Mainly Clear
2012,8,8,02:00,13.2,Mainly Clear
2012,8,8,03:00,12.3,Clear
2012,8,8,04:00,11.4,Mainly Clear
2012,8,8,05:00,10.4,Mainly Clear
2012,8,8,06:00,11.6,Mainly Clear
2012,8,8,07:00,16.8,Mainly Clear
2012,8,8,08:00,20.2,Mainly Clear
2012,8,8,09:00,22.4,Mainly Clear
2012,8,8,10:00,24.4,Mainly Clear
2012,8,8,11:00,25.4,Mainly Clear
2012,8,8,12:00,26.8,Mostly Cloudy
2012,8,8,13:00,27.5,Mostly Cloudy
2012,8,8,14:00,27.5,Mostly Cloudy
2012,8,8,15:00,27.9,Mainly Clear
2012,8,8,16:00,27.8,Mainly Clear
2012,8,8,17:00,27.1,Mainly Clear
2012,8,8,18:00,23.2,Mainly Clear
2012,8,8,19:00,21.6,Mainly Clear
2012,8,8,20:00,18.7,Mainly Clear
2012,8,8,21:00,15.3,Clear
2012,8,8,22:00,14.7,Clear
2012,8,8,23:00,15.4,Clear
2012,8,9,00:00,14.3,Clear
2012,8,9,01:00,13.3,Clear
2012,8,9,02:00,13.3,Clear
2012,8,9,03:00,11.8,Clear
2012,8,9,04:00,11.7,Clear
2012,8,9,05:00,12,Clear
2012,8,9,06:00,12.4,Mainly Clear
2012,8,9,07:00,14.4,Mainly Clear
2012,8,9,08:00,16.3,Mainly Clear
2012,8,9,09:00,18.3,Mainly Clear
2012,8,9,10:00,19.7,Mostly Cloudy
2012,8,9,11:00,21.8,Mostly Cloudy
2012,8,9,12:00,22.3,Mostly Cloudy
2012,8,9,13:00,23.9,Mostly Cloudy
2012,8,9,14:00,23.5,Mostly Cloudy
2012,8,9,15:00,23.8,Mostly Cloudy
2012,8,9,16:00,24.4,Mostly Cloudy
2012,8,9,17:00,24.2,Mostly Cloudy
2012,8,9,18:00,23.3,Mostly Cloudy
2012,8,9,19:00,22.2,Mostly Cloudy
2012,8,9,20:00,19.1,Mostly Cloudy
2012,8,9,21:00,18.4,Mostly Cloudy
2012,8,9,22:00,18.1,Mostly Cloudy
2012,8,9,23:00,17.7,Cloudy
